l’âge,de leeftijd
une résidence secondaire,een tweede huis
une colline,een heuvel
le champ,het veld
la vigne,de wijngaard
déguster,proeven
une falaise,een klif
un taureau,een stier
un tournesol,een zonnebloem
le repos,de rust
un truc,een ding
un amateur,een liefhebber
se rencontrer,elkaar ontmoeten
descendre,uitstappen
ensuite,daarna
enregistrer,opnemen
trinquer,proosten
comprendre,begrijpen
reconnaître,herkennen
battre,slaan
le passe-temps,de vrijetijdsbesteding
quelque chose,iets
marrant,grappig
une flèche,een pijl
avoir confiance,vertrouwen
à la recherche de,op zoek naar
la fermeture,de sluiting
un gant,een handschoen
un bonnet,een muts
l’occupation,de bezigheid
en tête de,aan het hoofd
les réseaux sociaux,de sociale netwerken
rattraper,inhalen
faire la connaissance de,kennismaken met
plein,vol
faire attention,opletten
"oud, van vroeger",ancien
bezitten,posséder
"meenemen, brengen",amener
een vleugel,une aile
verblijven,séjourner
schilderen,peindre
verbouwen,cultiver
het goud,l'or
ontdekken,découvrir
in het oog springen,sauter aux yeux
"zó, op deze manier",ainsi
de huisvesting,l'hébergement
een gastgezin,une famille d'accueil
aanbevelen,recommander
ontwikkelen,développer
een account op Facebook,un compte sur Facebook
het sociale netwerk,le réseau social
een ervaring,une expérience
de soort,le genre
wachten,attendre
het leven,la vie
genoeg,assez
toegang hebben tot,avoir accès à
de vrije tijd,le temps libre
een enquête onder,une enquête auprès de
ik zit op judo,je fais du judo
de computer,l'ordinateur
ik verveel me,je m'ennuie
soms,parfois
in conditie blijven,rester en forme
een verbod,un interdit
we (zouden) kunnen,on pourrait
"het eten, het voedsel",la nourriture
een groente,un légume
de koelkast,le frigo
naderen,approcher
het vuur,le feu
aansteken,allumer
doven,éteindre
een boete,une amende
à la pointe de,op de punt van
bordé(e) par,begrensd door
bilingue,tweetalig
la marée,het getij
nautique,water-
faire du char à voile,strandsurfen
accompagné de,vergezeld van
un nain,een dwerg
embarquer,aan boord gaan
réfléchir sur,nadenken over
le métier,het beroep
le magazine,het tijdschrift
le vendeur,de verkoper
entretemps,intussen
essentiellement,voornamelijk
sur place,ter plekke
emporter,meenemen
évidemment,uiteraard
goûter,proeven
divorcé,gescheiden
il y a trois ans,drie jaar geleden
se remarier,hertrouwen
l’année dernière,vorig jaar
drôle,grappig
certainement,zeker
boire,drinken
À tout à l’heure !,Tot zo!
le marin,de zeeman
un pêcheur,een visser
hésiter,aarzelen
tandis que,terwijl
pauvre,arm
la pêche,de visserij
une entreprise,een onderneming
se tromper de,zich vergissen in
mettre en oeuvre,in het werk stellen
une matière première,een grondstof
un héritage,een erfenis
fidèle à,trouw aan
une association,een stichting
le but,het doel
procurer,krijgen
le dépliant,de folder
une enceinte,een omheining
het onderwijs,l’enseignement
het verbod,l’interdiction
het bos,la forêt
de kust,la côte
een eiland,une île
wandelen,se promener
een steen,une pierre
de taalreis,le séjour linguistique
het gastgezin,la famille d’accueil
de manier van leven,le mode de vie
de sprong,le saut
dagelijks,quotidien
haar / zijn bed opmaken,faire son lit
de tafel dekken,mettre la table
twee weken,quinze jours
ophalen,aller chercher
het gebruik,l’usage
gastvrij,accueillant
de vooruitgang,le progrès
omringen,entourer
vrienden maken,se faire des amis
een aanklacht indienen,porter plainte
de dief,le voleur
stelen,voler
de beschrijving,la description
van leer,en cuir
donkerblauw,bleu foncé
de stof,le tissu
de rits,le zip
de reünie,la réunion
"lol hebben, grapjes maken",rigoler
van alles en nog wat,de tout et de rien
het toernooi,le tournoi
ongeveer,environ
"erg, ernstig",grave
het rijbewijs,le permis de conduire
natuurlijk,bien sûr
Verdorie!,Zut !
le parcours,het traject
au temps de,ten tijde van
la tribu,de stam
chacun,een ieder
le fer,het ijzer
la cloche,de klok
par coeur,uit je hoofd
l’impression,de indruk
n’importe où,waar dan ook
n'importe quand,wanneer dan ook
Saviez-vous que … ?,Wist u dat … ?
la piste cyclable,het fietspad
emprunter,lenen
un point de rendez-vous,een ontmoetingsplaats
le moyen de transport,het vervoermiddel
propre,eigen
en général,in het algemeen
souterrain,ondergronds
le couloir,de gang
un pickpocket,een zakkenroller
avertir,waarschuwen
télécharger,downloaden
disponible,beschikbaar
un point d’intérêt,een interessante locatie
quelques,enkele
malin,slim
gagner du temps,tijd winnen
inclus,inbegrepen
un accès illimité,een onbeperkte toegang
ne … que,slechts
valable,geldig
une commande,een bestelling
proche,dichtbij
la richesse,de rijkdom
un mode d’emploi,een gebruiksaanwijzing
introduire,invoeren
tellen,compter
het licht,la lumière
verdelen,diviser
de smaak,le goût
slenteren,flâner
bewonderen,admirer
het platteland,la campagne
een plek,un endroit
saai,ennuyeux
vervelend,ennuyeux
dat hangt ervan af,ça dépend
"een wandeling, een tochtje",une balade
"aangeven, noemen",indiquer
de trap,l’escalier
een route,un itinéraire
"goedkoop, voor een lage prijs",à petit prix
het wiel,la roue
de toekomst,l’avenir
de kermis,la fête foraine
de rivier,le fleuve
glijden,glisser
de receptie,l’accueil
in de openlucht,en plein air
de vermenging,la fusion
Zij zijn aangekomen.,Ils viennent d’arriver.
minder duur,moins cher
de metro-ingang,la bouche de métro
het bord / de borden,le panneau
ergens,quelque part
een roltrap,un escalier roulant
(binnen)in,à l’intérieur de
het loket,le guichet
voordelig,économique
de uitverkoop,les soldes
jaarlijks,annuel
een sjaal,une écharpe
de handschoenen,les gants
beschermen tegen,protéger de
uitverkopen,solder
modieus,tendance
de laarsjes,les bottines
strak,serré
de damesafdeling,le rayon femmes
passen,essayer
ik zie er dik uit / ik lijk dik,j’ai l’air gros
s’étendre,zich uitstrekken
l’explorateur,de ontdekkingsreiziger
rocheux,rotsachtig
la prairie,de weide
le sirop d’érable,de ahornsiroop
une cabane,een houten hut
mesurer,meten
la frontière,de grens
se souvenir de,zich herinneren
un suspect,een verdachte
la valeur,de waarde
s’installer à,zich vestigen in
dans les environs,in de omgeving
suivre en direct,live' volgen
capter,opvangen
un spectateur,een toeschouwer
rater,missen
le portable,het mobieltje
une bourse,een studiebeurs
le membre,het lid
excellent,uitmuntend
s’adapter à,zich aanpassen aan
attirer,aantrekken
relier,verbinden
la majorité,de meerderheid
le lac,het meer
le descendant,de afstammeling
la minorité,de minderheid
le gratte-ciel,de wolkenkrabber
impressionnant,indrukwekkend
la source,de bron
fortifié,versterkt
ailleurs,ergens anders
attraper,vangen
le bâton,de stok
ondanks,malgré
deel uitmaken van,faire partie de
ongerept (natuur),sauvage
wild (dieren),sauvage
een meer,un lac
een schaatser,un patineur
bevolken,peupler
betekenen,signifier
een blad,une feuille
aankondigen,annoncer
smelten,fondre
kraken,craquer
toch,pourtant
het doel,le but
uitspreiden,étendre
de slee,le traîneau
hieronder,ci-dessous
terugbellen,rappeler
doet denken aan,rappeler
zo snel mogelijk,dans les plus brefs délais
"zich tegoed doen, smullen",se régaler
ruiken,sentir
voelen,sentir
de sneeuwschoen,la raquette
langlaufen,le ski de fond
het eten,la bouffe
de ontvangst,l’accueil
het lawaai,le bruit
de buurman,le voisin
storen,déranger
la conquête,de verovering
branché,modern
savoureux,smakelijk
la vapeur,de stoom
humide,vochtig
des confiseries,snoepgoed
en l’honneur de,ter ere van
les courses,de boodschappen
autrefois,vroeger
un proverbe,een spreekwoord
sentir,voelen
tant mieux,des te beter
se perdre,verdwalen
le col brodé,de geborduurde kraag
en soie,van zijde
bas,laag
nulle part,nergens
géant,reusachtig
la façade,de voorkant
la hauteur,de hoogte
la largeur,de breedte
à partir de,vanaf
se régaler,genieten van
un avis,een mening
une chose,een ding
le côté,de kant
l’ambiance,de sfeer
un espace,een ruimte
convaincu,overtuigd
se détendre,zich ontspannen
signifier,betekenen
un bruit,een geluid
la lumière,het licht
s’engager à,zich verplichten tot
une trace,een spoor
le permis de conduire,het rijbewijs
composer,samenstellen
un équipage,een ploeg
distribuer,uitdelen
de woestijn,le désert
het gerecht,le plat
een gebouw,un bâtiment
groeien,pousser
te paard,à cheval
bedekt,couvert
wekelijks,hebdomadaire
(dicht)bij,proche de
bijna,près de
verdwalen,se perdre
"het straatje, steegje",la ruelle
een gastenverblijf,une maison d’hôtes
het uitzicht,la vue
de surfplank,la planche à voile
(na)fluiten,siffler
de plaats / plek,l’endroit
de indruk,l’impression
arm,pauvre
op blote voeten,pieds nus
de advocaat,l’avocat
op het land werken,travailler dans les champs
in plaats van,au lieu de
proberen,essayer
van de ene dag op de andere,du jour au lendemain
als,si
uitleggen,expliquer
(het) geluk hebben,avoir la chance
een workshop,un atelier
opeten,déguster
Het spijt me.,Je suis désolé.
"leuk, lollig",marrant
het lam,l’agneau
de dadel,la datte
de amandel,l’amande
het gebak,la pâtisserie
de inlichtingen,les renseignements
de worst,le saucisson
de yoghurt,le yaourt
"toch, wel",quand même
hij / het bestaat uit,il se compose de
vanaf,à partir de
over het algemeen,généralement
zout,salé
dik,épais
dominer,uitsteken boven
la canne à sucre,het suikerriet
un récif de corail,een koraalrif
l’escalade,het bergklimmen
une éruption,een uitbarsting
détruire,verwoesten
survécu,overleefd
une araignée,een spin
la folie,de gekte
s’évader,ontsnappen
la comédienne,de actrice
enseigner,lesgeven
anglophone,engelstalig
le sac à dos,de rugzak
l’École hôtelière,de hogere hotelschool
le collier,de halsketting
tout inclus,all-in
climatisé,met airconditioning
commun,gemeenschappelijk
le baptême,de inwijding
un forfait,een aanbieding
une épreuve,een proef
se rendre compte de,beseffen
éprouver,voelen
la racine,de wortel
"fier de, fière de",trots op
ressentir,diep voelen
tant que,zolang als
s'arrêter,stoppen
la séance,de zitting
le soigneur animalier,de dierenverzorger
la soigneuse animalière,de dierenverzorgster
un entretien,een onderhoud
de storm,la tempête
droog,sec
de landbouw,l’agriculture
een vlinder,un papillon
het vissen,la pêche
"het land, de grond",la terre
bijten,mordre
een gebeurtenis,un évènement
"maken, creëren",créer
de bestemming,la destination
helaas,hélas
bestaan,exister
"rustig, vreedzaam",paisible
bijna niet / geen,ne … presque pas
het openbaar vervoer,le transport en commun
zo,ainsi
in het bijzonder,en particulier
vernietigen,détruire
beschermen,protéger
onderdak verlenen,héberger
de sluiting,la fermeture
schikken,convenir
Welke dag komt goed uit?,Quel jour convient ?
zo vroeg mogelijk,le plus tôt possible
in de steek laten,quitter
eindelijk,enfin
plaatselijk,local
zijn droom waar maken,réaliser son rêve
de vriend,le pote
daarginds,là-bas
meer dan,plus de
reusachtig,géant
de schildpad,la tortue
"vergezellen, meegaan",accompagner
de slavernij,l’esclavage
klaar,prêt
vergelijken,comparer
zich ongerust maken,s’inquiéter
adapter à / adapté au,aanpassen aan / zich aanpassen / zich aanpassen aan
atteindre,bereiken / aankomen
en langue originale,in de oorspronkelijke taal / in de originele taal
être content de,blij zijn om / blij zijn / tevreden zijn / tevreden zijn met
la région bordelaise,de streek rond Bordeaux / de regio Bordeaux
Ie professeur d'allemand,de leraar Duits / de docent Duits
les retrouvailles,het weerzien
par semaine,per week
terminer,eindigen / beëindigen
un avantage,een voordeel
un échange,een uitwisseling
un inconvénient,een nadeel / een ongemak
un petit peu de stress,een klein beetje stress
un voyage scolaire,een schoolreisje / een schoolreis
une heure de cours,een uur les / een lesuur
une matière obligatoire,een verplicht vak
faire la fête,feest vieren / feesten
mémorable,onvergetelijk / memorabel
plein de copains,veel vrienden
retrouver,terugzien / terugvinden
se réaliser,werkelijkheid worden / uitkomen / zich realiseren
sortir en boîte,uitgaan naar de disco / naar de disco gaan / naar de discotheek gaan
un étranger,een buitenlander
un séjour linguistique,een talencursus
en effet,inderdaad
être trop occupé,te druk zijn
éviter,vermijden
la cause,de oorzaak
la confiance,het vertrouwen
les reproches,de verwijten
prendre des notes,aantekeningen maken / notities maken
rattraper un cours,een les inhalen
un élève doué,een getalenteerde leerling
une occasion,een gelegenheid
une raison,een reden
amical / amicale,vriendelijk / amicaal
avoir peur de,bang zijn / bang zijn om
dès,vanaf
différent,anders
la guerre,de oorlog
la moyenne,het gemiddelde
la note,het cijfer
la seconde,de vierde klas / de vierde
la section,het profiel
la terminale,de examenklas
Ie cours,de les
Ie lycée,de bovenbouw
obligé,verplicht
parfois,soms
prochain,volgende
redoubler,doubleren / blijven zitten
timide,verlegen / timide
une amitié,een vriendschap
annoncer,aankondigen / voorspellen
autant que,zoveel als
des fois,soms
ensemble,samen
finalement,uiteindelijk
Il est assis,hij zit
jeter,weggooien / gooien
I'enfance,de kinderjaren
obtenir Ie bac,je eindexamen halen / het eindexamen halen
pleurer,huilen
profiter de,genieten van
prouver,bewijzen
se faire des amis,vrienden maken
se rappeler,zich herinneren
cinq sur six,vijf van de zes / vijf op de zes
grandir,opgroeien
Ie bien-être,het welzijn
Ie comportement,het gedrag
Ie moins bon,het minst goed
obtenir une mauvaise note,een slecht cijfer krijgen / een slecht cijfer terugkrijgen
suivi de,gevolgd door
un adolescent,een puber / een adolescent
croissant,groeiend
faire la différence entre,een onderscheid maken tussen / onderscheid maken tussen
l'apparence,het uiterlijk
l'émission,de uitzending
la demande,de vraag / de aanvraag
Ie moindre,het minste
Ie principal,de belangrijkste / het belangrijkste
Ie quotidien,het dagblad
ressembler,lijken op / lijken
selon,volgens
aan zee,au bord de la mer
bruin worden,se faire bronzer
een nachtmerrie,un cauchemar
een slaapzak,un sac de couchage
vrijwilligerswerk,du travail volontaire / du bénévolat
in zee zwemmen,se baigner dans la mer
naar de discotheek,aller en boîte / sortir en boîte
naar het strand gaan,aller à la plage
onvergetelijk,inoubliable
teruggaan naar Spanje,retourner en Espagne / rentrer en Espagne
terugkomen,rentrer
tijdens de hele vakantie,pendant toutes les vacances
twee jaar geleden,il y a deux ans
uitgaan,sortir
zich vervelen,s'ennuyer
zin hebben in,avoir envie de
Heb je een fijne vakantie gehad?,Tu as passé de bonnes vacances?
Heb je niets speciaals gedaan?,Tu n'as rien fait de spécial?
Is de vakantie goed verlopen?,Ça s'est bien passé les vacances?
Wanneer zijn jullie teruggekomen?,Quand est-ce que vous êtes rentrés?
Wat hebben jullie gedaan?,Qu'est-ce que vous avez fait?
Dat is vele malen beter.,C’est mille fois mieux.
De bovenbouw is veel erger dan de onderbouw.,Le lycée est pire que le collège.
de meeste,la plupart de
de volwassenheid,la maturité
doorzetten,s’accrocher
Het niveau ligt hoger.,C’est plus dur niveau cours.
het tijdperk,l’époque
Ik kan haast niet wachten!,Qu’est-ce que j’ai hâte!
Ik vind dat,Je trouve que / je suis d'avis
Men wordt wat volwassener.,On prend une certaine maturité.
naar mijn mening,à mon avis
opgelucht,soulagé
stomvervelend,barbant
tegenspreken,contredire
volgens mij,d’après moi
wat betreft,par rapport à / sur
accélérer,versnellen
en particulier,in het bijzonder / vooral
en tant que,in de hoedanigheid van / als
être originaire de,afkomstig zijn uit / is afkomstig van / zijn afkomstig van
la ressemblance,de overeenkomst
Ie logement,de huisvesting
les conditions d'accès,de toelatingsvoorwaarden / de toelatingseisen
manquer,er niet zijn / missen
pareiI / pareils,hetzelfde / gelijk
poursuivre,voortzetten / doorgaan met
quotidien / quotidienne,dagelijks / dagelijkse
s'adapter,zich aanpassen
une particularité,een bijzonderheid
à peu près,bijna / ongeveer
avoir l'occasion de,de gelegenheid hebben om / de kans hebben
avoir la chance de,het geluk hebben om
Ie salut,de groet
poser des problèmes,problemen veroorzaken
rare / rares,zeldzaam
regretter,spijt hebben van / betreuren
suivre une formation,een opleiding volgen
abandonner,verlaten
l'escalier,de trap
l'imagination,de verbeelding / de fantasie
la ligne de chemin de fer,de spoorweg / de rails
la rue animée,de drukke straat
Ie cimetière,het kerkhof / de begraafplaats
Ie couloir,de gang
Ie fantôme,het spook
Ie lac,het meer
Ie lieu,de plaats
le sous-sol,de kelder
se déplacer,zich verplaatsen
tomber amoureux,verliefd worden
augmenter,toenemen / verhogen
la circulation,het verkeer
compter,tellen
construire,bouwen
faciliter,makkelijk maken
faire confiance à,vertrouwen hebben in / vertrouwen in hebben
gêner,storen / irriteren
l'épaule,de schouder
l'habitation,de woning
l'immeuble,het flatgebouw
l'inondation,de overstroming
la capitale,de hoofdstad
la crue,het hoogwater
la statue,het kunstbeeld
Ie commerce,de handel
Ie dégât,de schade
Ie fleuve,de rivier
parcourir,afleggen / doorkruisen
retenir,onthouden
situé sous,gelegen onder / liggen onder / ligt onder
souvent,vaak
transporter,vervoeren / verslepen
traverser,oversteken
avoir Ie droit de,het recht hebben op / het recht hebben om
bien élevé,goed opgevoed
bouger,bewegen
commander,bestellen
curieux,nieuwsgierig
découvrir,ontdekken
délicieux,heerlijk
désagréable,onaangenaam
essayer,proberen / passen
l'étranger,het buitenland
faire preuve de,blijk geven van
faire semblant,doen alsof / doen net alsof
l'endroit,de plaats
l'habitude,de gewoonte
l'interdiction,het verbod
la résidence secondaire,het tweede huis
Ie comptoir,de bar
Ie rendez-vous professionnel,de zakelijke afspraak
Ie salon,de woonkamer
les lieux publics,de openbare ruimte
même si,zelfs als
mourir,sterven
obligatoire,verplicht
un original,een zonderling
c'est pareil,het is hetzelfde
presque,bijna
refaire Ie monde,de wereld verbeteren
régulièrement,regelmatig
sans,zonder
se forcer,zich dwingen / dwingen / zich forceren / forceren
tout Ie temps,de hele tijd
accueillant / accueillants,gastvrij
actuellement,nu / op dit moment
bien gagner sa vie,goed verdienen
depuis tout petit,van jongs af aan
Ie métier,het beroep / het vak
l'origine,de afkomst
puissant,machtig
l'avare,de gierigaard /de vrek
effectuer une enquête,een onderzoek uitvoeren
également,ook
en tête de / en tête du,aan de leiding van
finir bon dernier,als goede laatste eindigen / als laatste eindigen
Ie palmarès,de lijst van winnaars
Ie pire,het ergste
refuser,weigeren
se classer au troisième rang,op de derde plaats komen op de derde plaats eindigen
aangenaam,agréable
bij … overstappen,changer à
de rotonde,Ie rond-point
het kruispunt,Ie carrefour
het lopen,la marche
het plein,la place
het stoplicht,le feu / le feu rouge
inderdaad,en effet
ingewikkeld,compliqué
langslopen,longer
lijn één nemen,prendre la ligne un / prendre la ligne 1
lopen,marcher
oversteken,traverser
rechts afslaan,tourner à droite
rechtdoor gaan,aller tout droit / continuer tout droit
straat inslaan,prendre une rue / prendre la rue
begeleiden,guider
de korting,la réduction
de prijs / het tarief,Ie tarif
de wandeling,la promenade / la randonnée
de kaart / de dagkaart,Ie forfait
het bezoek,la visite
het gebouw,Ie monument / le bâtiment
de rit,Ie trajet
het vervoermiddel,Ie moyen de transport
jammer,dommage
vertrekken,partir
weten,savoir
aangeven,indiquer
atletisch,athlétique
het avonturenpark,Ie parc d'aventure
een avonturier,un aventurier
bij voorbaat dank,merci d'avance
gemiddeld,moyen
de informatie,les renseignements
kanoën,faire du canoë
net als,comme
sportief,sportif / sportive
een sprong,un saut
een tocht,une randonnée
de tokkelbaan,la tyrolienne
van plan zijn,avoir l'intention de / avoir l'intention
de veiligheid,la sécurité
assister à un cours,een les bijwonen
au lieu de,in plaats van
banaliser,gewoon maken / aanpassen
de façon à,zodat
de la même façon,op dezelfde manier
diviser en groupes,in groepen verdelen
doubler par,verdubbelen
être à l'aise,op je gemak zijn
être axé sur,gericht zijn op
être impressionné,onder de indruk zijn
initier quelqu'un à,iemand inwijden in
l'acquisition,de verwerving / het leren / het aanleren
l'imprimerie,de boekdrukkunst
la facilité,het gemak
les arts graphiques,de grafische kunst
les savoirs,de kennis
par ordinateur,op de computer / via de computer
préalablement à,voorafgaand aan
rédiger en vidéo,op video vastleggen
riche de,rijk aan
s'exprimer,zich uitdrukken
une amourette,een liefdesavontuurtje
allumer,aandoen
apparaître,verschijnen
appuyer sur,drukken op
effacer,verwijderen / weghalen / uitgummen
éteindre,uitzetten / uitdoven
insérer une carte,er een kaartje in doen / er een spelletje in doen
l'écran,het scherm
l'épreuve,de beproeving
l'objectif,het doel
la console,de spelcomputer
Ie chargement,het laden
Ie démarrage,het starten / het opstarten
Ie sommaire,de inhoudsopgave
les paramètres,de instellingen
modifier,wijzigen / aanpassen / veranderen
néanmoins,niettemin / maar toch
retourner,teruggaan
s'afficher,verschijnen
sauvegarder,bewaren
cependant,echter
I'entreprise,het bedrijf
l'hôpital,het ziekenhuis
l'incendie,de brand
l'invitation,de uitnodiging
l'utilisateur,de gebruiker
la banlieue,de buitenwijk
la foule,de menigte
la validité,de geldigheid
Ie bilan,het eindresultaat / het gevolg
Ie blessé,de gewonde
Ie bureau de tabac,tabakswinkel / sigarenzaak / sigarettenzaak
Ie domicile,het woonadres
Ie médecin,de arts
Ie pompier,de brandweerman
Ie policier,de politieman / de politieagent / de agent
Ie témoignage,de getuigenis
Ie tour du monde,de wereldreis
partout,overal
précédent,voorafgaand / vorige
quitter,verlaten
réclamer,opeisen / aanspraak maken op
remplir,invullen
sembler,blijken / schijnen / lijken
subir,ondergaan
visible / visibles,zichtbaar
avoir besoin de,nodig hebben
cliquer,klikken
complètement,helemaal / compleet
empêcher de,verhinderen
habiller,aankleden / kleden
imposer,opdringen
l'environnement,het milieu
la consommation,het eten van
la décision,de beslissing
la possibilité,de mogelijkheid
Ie combat,het gevecht
Ie mot de passe,het wachtwoord
proposer,voorstellen
puisque,omdat
récemment,onlangs
récupérer,terugkrijgen
supprimer,afschaffen / verwijderen
pourriez-vous me dire si,kunt u mij zeggen of
j'aimerais savoir si,ik zou graag willen weten of
est-ce qu'il faut,heb je nodig
qui peut m'aider,wie kan mij helpen
je trouve que,ik vind dat
je te conseille de,ik raad je aan om / ik raad je aan om te
à mon avis,naar mijn mening
je pense que,ik denk dat
discuter,praten / discussiëren
échanger,uitwisselen
Ie goût,de smaak
identique,dezelfde
isolé,afgezonderd
Ie lien,de band / de relatie / het verband
partager,delen
tout Ie monde,iedereen
accompagner,meegaan / vergezellen / meegaan met
les aides,de hulpmiddelen
bon marché,goedkoop
justement,juist / precies
la population,de bevolking
retenir l'attention,de aandacht trekken
les revenus modestes,de lage inkomens
adviseren,conseiller
aan het begin van de middag,en début d'après-midi
de berghut,Ie refuge
de bevestiging,la confirmation
de maaltijd,le repas
doordeweeks,en semaine
de wandeltocht,la randonnée
kosten,coûter
van … tot …,du … au ...
We zouden graag willen doen,Nous voudrions faire
Hoeveel kost het?,Combien ça coûte?
Ik wil graag reserveren.,Je veux bien réserver.
Wat is het adres?,Quelle est votre adresse?
Kunt u het spellen?,Vous pouvez épeler?
Op welke naam?,C'est à quel nom?
Met hoeveel personen zijn jullie? / Met hoeveel zijn jullie?,Vous êtes combien?
We zijn met z'n zessen.,Nous sommes six. / Nous sommes 6.
een bestek,un couvert
een bord,une assiette
een toeslag,un supplément
verplicht zijn om,être obligé de
Alles is opgelost,Tout est réglé.
Het is niet erg.,Ce n'est pas grave
Het probleem is dat,Le problème c'est que
Ik bedoel dat,C'est à dire que
lk kan u uit de brand helpen.,Je peux vous dépanner.
Kan ik nog iets voor u doen?,Je peux encore faire quelque chose pour vous?
Wat is het probleem?,Quel est Ie problème?
een buitenaards wezen,un extraterrestre
een tweede account,un second compte
in werkelijkheid,en réalité
moeiteloos,aisément
op welk uur dan ook,à n'importe quelle heure
twee derde,les deux tiers
weghalen,supprimer / enlever
Hij reageert nooit op berichten.,Il ne répond jamais aux messages.
Hij zet citaten op zijn profiel.,Il publie des citations sur son statut.
Ik denk dat ...,Je pense que
Ik geloof dat ...,Je crois que
Ik vind dat die vent te veel kletst.,Je trouve que ce type est trop bavard. / Je trouve que ce type parle trop.
à l’issue de,na afloop van
donner lieu à,aanleiding geven tot
faire le nécessaire,het noodzakelijke doen
intervenir,ingrijpen
la larme,de traan
la portière,het portier / de deur
la tentative,de poging
les forces de l’ordre,de politie
les pompiers,de brandweer / de brandweermannen / de brandweerlieden
porter secours,te hulp schieten / helpen
rayer,bekrassen / krassen
se produire,plaatsvinden / voorvallen
se rendre à,ergens naartoe gaan / naartoe gaan
suspect,verdacht
tourner à,veranderen in
un affrontement,een confrontatie
un incendie,een brand
coiffer,kappen / bedekken / dragen
estimer,schatten / waarderen
étroit,nauw
se gêner,elkaar hinderen / zich schamen
innombrable,ontelbaar
l’évènement,de gebeurtenis / het evenement
l’histoire,de geschiedenis / het verhaal
la multitude,massa / een groot aantal
la poubelle,de vuilnisbak / de rommel / de vuilnis
le locataire,de huurder
le déchet,het afval
le déménagement,de verhuizing
le logement,de woning
le théâtre,de schouwburg /het schouwspel
multiple,veelvoudig / meerdere
précéder,voorafgaan
se débarrasser,zich ontdoen van / weggooien
souligner,benadrukken / onderstrepen
choisir,kiezen
convenir,passen / uitkomen
l’aviateur,de vlieger / de vliegenier / de piloot
l’hôte,de gastheer
l’invité,de gast
la soirée,het feest / de avond
la tenue,de kleding / de outfit
réserver,boeken / reserveren
se déguiser,zich verkleden
bien sûr,natuurlijk
bref,kortom
d’abord,ten eerste
en résumé,samenvattend
en revanche,daarentegen
l’angle,de hoek
l’équerre,de geodriehoek
la colle,de lijm
la fleur,de bloem
la paire de ciseaux,de schaar
la règle,de liniaal
le carré,het vierkant
le triangle,de driehoek
parce que,omdat
par contre,daarentegen
plier,vouwen
se chevaucher,elkaar overlappen / elkaar gedeeltelijk overlappen
confondre,door elkaar halen
frapper le sol en rythme,ritmisch op de grond slaan
le phénomène,het verschijnsel
observer,bekijken / spotten / observeren
prendre des cours,lessen nemen
s’adonner à,zich overgeven aan
urbain / urbaine,stedelijk
contenir,inhouden / bevatten
de cette façon,op die manier
envisageable,denkbaar
être chargé de,iets op zich nemen
pour,om
prendre l’habitude de,de gewoonte nemen om
risquer de,het risico lopen / het risico lopen te
s’agir de,gaan over
s’assurer que,zich van iets verzekeren
violemment,heftig
beginnen met,se mettre à / commencer à
de herfstvakantie,les vacances de la Toussaint
een handje helpen,donner un coup de main
een sms,un texto
zich verkleden,se déguiser
als onderwerp van je spreekbeurt,comme sujet d’exposé
Dat is te kort!,C’est trop court!
een spreekbeurt houden over …,faire un exposé sur …
Heb je nog andere ideeën?,Tu as encore d’autres idées?
Ik begin er meteen aan!,Je m’y mets tout de suite!
Je kunt het bijvoorbeeld hebben over …,Tu peux parler par exemple de
Je kunt op internet zoeken.,Tu peux chercher sur internet.
Wil je dat ik je help?,Veux-tu que je te donne un coup de main?
bijwonen,assister à
een persoonlijke noot,une touche personnelle
heerlijk,délicieux / délicieuse
het vrijwilligerswerk,le bénévolat
tegenwoordig,de nos jours
verspreiden,se répandre
zoals de traditie voorschrijft,comme c’est la tradition
Eerst ga ik jullie iets vertellen over,"D’abord, je vais vous raconter quelque chose sur"
Vervolgens ga ik jullie iets vertellen over …,"Après, je vais vous raconter quelque chose sur"
Oorspronkelijk is het een feest om …,À l’origine c’est une fête pour …
bij elkaar brengen,rassembler
de vrolijkheid,la gaieté
de vruchtbaarheid,la fertilité
een badpak,un maillot de bain / un maillot
een gevarieerd programma,une programmation variée
een leuke tijd hebben,passer du bon temps
een middel,un moyen
herdenken,commémorer
het ontwaken,le réveil
het uitkomen,l’éclosion
de komst van mooie dagen,l’arrivée des beaux jours
de terugkeer van de lente,le retour du printemps
de verbetering van de temperatuur,le radoucissement des températures
De zon is terug.,Le soleil est de retour.
een tochtje naar het strand,un petit tour à la plage
gratis concerten of voorstellingen,des concerts ou des spectacles gratuits
Maak jullie klaar!,Préparez-vous!
zich kenmerken door,marquer / se caractériser
couvert,bedekt / overdekt
désigner,bedoelen
entraîner,met zich meebrengen / meeslepen
la dépression,de depressie
la perturbation,de storing
le mauvais temps,het slechte weer
nuageux,bewolkt
un orage,een storm
une averse,een hevige bui
une éclaircie,een opklaring
être affamé comme un loup,honger als een paard hebben / honger als een wolf hebben
être capable de tout,tot alles in staat zijn
être fier comme un paon,zo trots als een pauw zijn
être trempé comme une soupe,helemaal doorweekt zijn
inquiet,ongerust
la révélation,de openbaring
le baptême du feu,de vuurdoop
le contraire,het tegendeel
le croisement,de kruising
le découragement,de ontmoediging
le hasard,het toeval
le poids lourd,de vrachtwagen
le séjour linguistique,de taalcursus in het buitenland
lutter pour sa survie,vechten om te overleven
mettre la pression,onder druk zetten
